Seller Name,Seller Reputation,Card Quality,Card Price
LuckyNumber7,Outstanding,Near Mint,'1,45 £'
mochasins,Outstanding,Near Mint,'1,74 £'
SeventhCity,Outstanding,Excellent,'1,74 £'
SneakAttackGames,Outstanding,Excellent,'1,75 £'
Sandryl,Outstanding,Near Mint,'1,97 £'
ZeroShift,Outstanding,Near Mint,'2,00 £'
SeventhCity,Outstanding,Near Mint,'2,18 £'
gamerz-nexus,Outstanding,Near Mint,'2,50 £'
gazza006,Outstanding,Near Mint,'2,61 £'
Mikon,Outstanding,Near Mint,'2,62 £'
mercurial,Outstanding,Near Mint,'4,01 £'
cole04,Outstanding,Good,'5,02 £'
gamerz-nexus,Outstanding,Near Mint,'5,50 £'
BelieveGames,Outstanding,Excellent,'5,98 £'
SwankyPants88,Outstanding,Near Mint,'6,50 £'
BelieveGames,Outstanding,Excellent,'8,98 £'
VitalForceGaming,Outstanding,Near Mint,'11,99 £'
AsherSummers,Outstanding,Near Mint,'12,22 £'
